NAME,RCH,GIS,MON,AREAkm2,FLOW_INcms,FLOW_OUTcms,EVAPcms,TLOSScms,SEDINtons,SEDOUTtons,SEDCONCmg/L,ORGNINkg,ORGNOUTkg,ORGPINkg,ORGP_OUTkg,NO3_INkg,NO3_OUTkg,NH4_INkg,NH4_OUTkg,NO2_INkg,NO2_OUTkg,MINP_INkg,MINP_OUTkg,CHLA_INkg,CHLA_OUTkg,CBOD_INkg,CBOD_OUTkg,DISOX_INkg,DISOX_OUTkg,SOLPST_INmg,SOLPST_OUTmg,SORPST_INmg,SORPST_OUTmg,REACTPSTmg,VOLPSTmg,SETTLPSTmg,RESUSP_PSTmg,DIFFUSEPSTmg,REACBEDPSTmg,BURYPSTmg,BED_PSTmg,BACTP_OUTct,BACTLP_OUTct,CMETAL#1kg,CMETAL#2kg,CMETAL#3kg,TOT_Nkg,TOT_Pkg,NO3ConcMg/l,WTMPdegc
REACH,8,0,2,109.0,1.06,1.04,0.0082,0.0,15200.0,12300.0,857.0,24900.0,23200.0,8150.0,7300.0,330.0,304.0,0.0,0.0963,0.0,0.00279,34.0,244.0,1000.0,333.0,647000.0,450000.0,18900.0,8590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23500.0,7540.0,0.0,0.0
REACH,11,0,2,173.0,0.837,0.834,0.00144,0.0,5500.0,152.0,18.4,15800.0,15700.0,5360.0,5300.0,280.0,280.0,48.9,91.1,0.1,0.147,317.0,355.0,227.0,208.0,428000.0,414000.0,4850.0,5090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,5660.0,0.0,0.0
REACH,15,0,2,58.8,0.412,0.406,0.00402,0.0,8560.0,7020.0,851.0,9770.0,9200.0,3610.0,3270.0,43.5,41.5,0.0,0.0117,0.0,0.000168,9.71,73.7,391.0,143.0,348000.0,247000.0,5210.0,2060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9240.0,3340.0,0.0,0.0
REACH,28,0,2,90.7,0.744,0.72,0.0138,0.0,12400.0,6260.0,648.0,14000.0,10600.0,4870.0,3100.0,29.6,27.0,0.0,0.312,0.0,0.0124,15.5,431.0,559.0,6.03,600000.0,96500.0,9740.0,7670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10700.0,3530.0,0.0,0.0
REACH,33,0,2,126.0,1.09,1.09,0.00328,0.0,29900.0,299.0,17.1,20900.0,20700.0,7030.0,6890.0,41.4,41.1,0.0436,0.126,0.00151,0.000597,72.6,194.0,574.0,494.0,1450000.0,1340000.0,2050.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20700.0,7080.0,0.0,0.0
REACH,38,0,2,50.6,0.323,0.321,0.00187,0.0,4050.0,3830.0,469.0,3920.0,3860.0,1470.0,1430.0,13.4,13.1,0.0,0.122,0.0,0.012,7.24,26.4,157.0,117.0,225000.0,201000.0,2320.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3870.0,1460.0,0.0,0.0
REACH,39,0,2,29.1,0.22,0.217,0.00179,0.0,3110.0,2410.0,686.0,5130.0,4790.0,1800.0,1600.0,138.0,135.0,0.0,0.12,0.0,0.0124,7.54,46.5,210.0,51.6,133000.0,71400.0,3370.0,831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4930.0,1640.0,0.0,0.0
REACH,43,0,2,19.5,0.139,0.139,0.000125,0.0,7420.0,7370.0,1320.0,4410.0,4400.0,1550.0,1550.0,86.7,86.7,0.0,0.142,0.0,0.00012,4.14,7.52,179.0,172.0,307000.0,303000.0,228.0,60.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4490.0,1550.0,0.0,0.0
REACH,2,0,3,28.3,0.00165,0.000658,0.00109,0.0,4.3e-08,0.0,0.0,1.34,1.23,0.472,0.326,1.09,0.399,0.0,0.0243,0.0,0.001,0.00222,0.329,0.0059,0.0,0.0,4.88e-07,49.7,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.655,0.0,0.0
REACH,8,0,3,109.0,0.0404,0.0425,0.00675,0.0,6.48,3.64,5.65,824.0,726.0,289.0,217.0,15.6,12.1,0.0,0.721,0.0,0.0324,1.37,88.2,30.0,0.0,0.0,0.000267,1360.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.0,305.0,0.0,0.0
REACH,11,0,3,173.0,0.0134,0.0132,0.000848,0.0,0.25,0.383,2.36,199.0,196.0,58.7,56.6,3.99,3.6,3.68,6.47,0.0942,0.286,30.6,34.3,2.28e-14,0.0,0.000189,0.000473,451.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,90.8,0.0,0.0
REACH,15,0,3,58.8,0.00411,0.00243,0.00341,0.0,0.00675,0.00305,0.0432,57.5,34.9,21.8,10.2,0.964,0.165,0.0,0.00351,0.0,0.000192,0.0601,7.44,1.93,0.0,0.0,1.95e-05,115.0,83.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,17.7,0.0,0.0
REACH,28,0,3,90.7,0.0104,0.0108,0.00867,0.0,0.104,0.0365,0.149,128.0,93.2,48.4,24.9,1.15,0.318,0.0,3.47,0.0,0.221,0.175,39.0,4.17,0.0,0.0,0.0,293.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.2,63.8,0.0,0.0
REACH,33,0,3,126.0,0.00142,0.000259,0.00146,0.0,6.77e-08,0.00357,0.221,2.5,1.71,0.64,0.36,0.335,0.0125,0.00366,0.00155,0.000155,0.000124,0.659,0.709,5.39e-09,0.0,2.82e-06,3.55e-05,37.6,8.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,1.07,0.0,0.0
REACH,38,0,3,50.6,0.0029,0.000422,0.00251,0.0,4.35e-08,1.4e-09,5.79e-06,0.0243,0.0125,0.00937,0.00316,0.797,0.115,0.0,0.0195,0.0,0.0019,0.000142,0.00654,1.89e-07,0.0,0.0,0.0,73.5,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149,0.0097,0.0,0.0
REACH,39,0,3,29.1,0.00251,0.00152,0.00152,0.0,7.17e-06,3.13e-06,9.67e-05,18.0,16.5,6.31,4.36,1.29,0.598,0.0,0.0831,0.0,0.00676,0.0246,3.93,0.388,0.0,0.0,4.66e-06,78.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,8.29,0.0,0.0
REACH,43,0,3,19.5,0.00128,0.00111,0.000171,0.0,5.91e-08,0.0,0.0,5.74e-05,5.05e-05,0.000172,0.000128,0.597,0.517,0.0,0.00481,0.0,0.000143,5.74e-05,0.000473,1.32e-13,0.0,0.0,1.52e-07,38.3,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522,0.000601,0.0,0.0
